,federal_district,city,geo_lat,geo_lon
381,Южный,Краснодар,45.0401604,38.975964700000006
382,Южный,Кропоткин,45.433300700000004,40.5727951
383,Южный,Крымск,44.9344404,37.9855795
384,Южный,Курганинск,44.8877025,40.5913245
385,Южный,Лабинск,44.635436299999995,40.7245341
386,Южный,Новокубанск,45.1038699,41.0475175
387,Южный,Новороссийск,44.7235026,37.7686135
388,Южный,Приморско-Ахтарск,46.051543200000005,38.1704875
389,Южный,Славянск-на-Кубани,45.2603626,38.1259774
390,Южный,Сочи,43.585455100000004,39.723154799999996
391,Южный,Темрюк,45.261094899999996,37.4454412
392,Южный,Тимашевск,45.615922999999995,38.9351837
393,Южный,Тихорецк,45.854634499999996,40.126026700000004
394,Южный,Туапсе,44.1105335,39.0824904
395,Южный,Усть-Лабинск,45.222735899999996,39.69295770000001
396,Южный,Хадыженск,44.4122963,39.5320258
397,Сибирский,Артемовск,54.34730749999999,93.4358377
398,Сибирский,Ачинск,56.253907,90.4794397
399,Сибирский,Боготол,56.2098468,89.52993359999999
400,Сибирский,Бородино,55.90541210000001,94.9020967
401,Сибирский,Дивногорск,55.9576784,92.38006870000001
402,Сибирский,Дудинка,69.40313640000001,86.1907218
403,Сибирский,Енисейск,58.4485261,92.1651083
404,Сибирский,Железногорск,56.2529035,93.532273
405,Сибирский,Заозерный,55.9617752,94.70914909999999
406,Сибирский,Зеленогорск,56.1131564,94.5888103
407,Сибирский,Игарка,67.4666901,86.58127940000001
408,Сибирский,Иланский,56.2374037,96.067267
409,Сибирский,Канск,56.2051282,95.70510959999999
410,Сибирский,Кодинск,58.6032644,99.17979620000001
411,Сибирский,Красноярск,56.00938789999999,92.85248059999999
412,Сибирский,Лесосибирск,58.221681000000004,92.50378719999999
413,Сибирский,Минусинск,53.7104586,91.6872907
414,Сибирский,Назарово,56.0113799,90.4168775
415,Сибирский,Норильск,69.3489978,88.20098459999998
416,Сибирский,Сосновоборск,56.1202647,93.3354121
417,Сибирский,Ужур,55.314196900000006,89.8333918
418,Сибирский,Уяр,55.81312629999999,94.3282601
419,Сибирский,Шарыпово,55.538973899999995,89.1801044
420,Южный,Ялта,44.4164605,34.044479700000004
421,Южный,Алушта,44.6764304,34.4100624
422,Южный,Армянск,46.1059307,33.6910012
423,Южный,Бахчисарай,44.7514769,33.875217600000006
424,Южный,Белогорск,45.057202000000004,34.5999029
425,Южный,Джанкой,45.709230600000005,34.3883372
426,Южный,Евпатория,45.190629,33.367634
427,Южный,Керчь,45.3562627,36.4674513
428,Южный,Красноперекопск,45.9537576,33.7921939
429,Южный,Саки,45.1341997,33.6033383
430,Южный,Симферополь,44.9482948,34.100115100000004
431,Южный,Старый Крым,45.029058,35.0901474
432,Южный,Судак,44.8504679,34.976203399999996
433,Южный,Феодосия,45.0318393,35.382425899999994
434,Южный,Щелкино,45.4288991,35.825165000000005
435,Южный,Ялта,44.495361200000005,34.166308
436,Уральский,Далматово,56.262114000000004,62.9387011
437,Уральский,Катайск,56.290808999999996,62.58003589999999
438,Уральский,Курган,55.44438829999999,65.3161963
439,Уральский,Куртамыш,54.936853899999996,64.4203722
440,Уральский,Макушино,55.215394700000004,67.2451705
441,Уральский,Петухово,55.0650077,67.88734079999999
442,Уральский,Шадринск,56.08703440000001,63.629718200000006
443,Уральский,Шумиха,55.228024600000005,63.2901272
444,Уральский,Щучье,55.2087637,62.74785479999999
445,Центральный,Дмитриев,52.1268464,35.0739038
446,Центральный,Железногорск,52.3380202,35.3516867
447,Центральный,Курск,51.730363700000005,36.1925603
448,Центральный,Курчатов,51.6604083,35.6572224
449,Центральный,Льгов,51.659714799999996,35.2612491
450,Центральный,Обоянь,51.211932399999995,36.2755133
451,Центральный,Рыльск,51.5681314,34.6802597
452,Центральный,Суджа,51.191892700000004,35.272091499999995
453,Центральный,Фатеж,52.091772799999994,35.8538706
